time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1900-07-29T06:59:00.000Z,-10,165,0,7.6,mw,,,,,iscgem,iscgem16957713,2019-12-23T20:14:04.493Z,"Santa Cruz Islands",earthquake,,,,,automatic,iscgem,iscgem
1900-10-09T12:25:00.000Z,57.09,-153.48,,7.86,mw,,,,,ushis,ushis391,2019-05-02T20:46:08.555Z,"Kodiak Island region, Alaska",earthquake,,,,,reviewed,ushis,pt
1900-10-29T09:11:00.000Z,11,-66,0,7.7,mw,,,,,iscgem,iscgem16957719,2019-12-23T20:14:25.809Z,"offshore Miranda, Venezuela",earthquake,,,,,automatic,iscgem,iscgem
1901-08-09T13:01:00.000Z,-22,170,0,7.9,mw,,,,,iscgem,iscgem16957737,2015-05-13T18:52:41.000Z,"southeast of the Loyalty Islands",earthquake,,,,,automatic,iscgem,iscgem
1901-08-09T18:33:00.000Z,40,144,0,7.5,mw,,,,,iscgem,iscgem16957736,2015-05-13T18:52:41.000Z,"off the east coast of Honshu, Japan",earthquake,,,,,automatic,iscgem,iscgem
1901-12-30T22:34:00.000Z,52,-160,,7,ms,,,,,ushis,ushis397,2018-06-04T20:43:44.000Z,"south of Alaska",earthquake,,,,,reviewed,ushis,abe
1901-12-31T09:02:30.000Z,51.45,-171.02,,7.1,ms,,,,,ushis,ushis399,2018-06-04T20:43:44.000Z,"Fox Islands, Aleutian Islands, Alaska",earthquake,,,,,reviewed,ushis,abe
1902-01-01T05:20:30.000Z,52.38,-167.45,,7,ms,,,,,ushis,ushis400,2018-06-04T20:43:44.000Z,"Fox Islands, Aleutian Islands, Alaska",earthquake,,,,,reviewed,ushis,abe
1902-04-19T02:23:00.000Z,14,-91,0,7.5,mw,,,,,iscgem,iscgem16957763,2019-12-23T20:14:52.065Z,"Guatemala",earthquake,,,,,automatic,iscgem,iscgem
1902-08-22T03:00:00.000Z,40,77,0,7.7,mw,,,,,iscgem,iscgem16957769,2019-12-23T20:15:13.829Z,"Kyrgyzstan-Xinjiang border region",earthquake,,,,,automatic,iscgem,iscgem
1902-09-22T01:46:00.000Z,18,146,0,7.5,mw,,,,,iscgem,iscgem16957777,2015-05-13T18:52:41.000Z,"Alamagan region, Northern Mariana Islands",earthquake,,,,,automatic,iscgem,iscgem
1902-09-23T20:18:00.000Z,16,-93,0,7.8,mw,,,,,iscgem,iscgem16957778,2019-12-23T20:15:46.516Z,"Chiapas, Mexico",earthquake,,,,,automatic,iscgem,iscgem
1903-01-14T01:47:00.000Z,15,-98,0,7.7,mw,,,,,iscgem,iscgem16957788,2019-12-23T20:16:16.410Z,"off the coast of Oaxaca, Mexico",earthquake,,,,,automatic,iscgem,iscgem
1903-01-17T16:05:00.000Z,50.85,-175.16,,7,ms,,,,,ushis,ushis411,2018-06-04T20:43:44.000Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake,,,,,reviewed,ushis,abe
1904-06-25T14:45:39.000Z,51.565,161.417,15,7.5,mw,,,,,iscgemsup,iscgemsup16957820,2015-07-13T17:02:22.000Z,"off the east coast of the Kamchatka Peninsula, Russia",earthquake,,,,,automatic,iscgem,iscgem
1904-06-25T21:00:37.000Z,52.864,160.445,30,7.7,mw,,,,,iscgem,iscgem16957819,2019-12-23T20:16:42.692Z,"off the east coast of the Kamchatka Peninsula, Russia",earthquake,,,,,automatic,iscgem,iscgem
1904-08-27T21:56:00.000Z,64.66,-148.08,,7.3,ms,,,,,ushis,ushis431,2018-06-04T20:43:44.000Z,"Central Alaska",earthquake,,,,,reviewed,ushis,abe
1905-02-14T08:46:00.000Z,50.73,-178.55,,7.3,ms,,,,,ushis,ushis433,2018-06-04T20:43:44.000Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake,,,,,reviewed,ushis,abe
1905-03-22T03:38:00.000Z,51.28,174.83,,7,ms,,,,,ushis,ushis434,2018-06-04T20:43:44.000Z,"Near Islands, Aleutian Islands, Alaska",earthquake,,,,,reviewed,ushis,abe
1905-04-04T00:49:59.000Z,32.636,76.788,20,7.9,mw,,,,,iscgem,iscgem16957848,2019-12-23T20:17:08.317Z,"Himachal Pradesh, India",earthquake,,,,,automatic,iscgem,iscgem
1905-07-09T09:40:39.000Z,49.709,98.483,15,7.95,mw,,,,,official,official19050709094039000_15,2019-12-23T20:17:33.744Z,"Tsetserleg, Mongolia",earthquake,,,,,reviewed,iscgem,official
1905-07-23T02:46:22.000Z,49.369,96.61,15,8.3,mw,,,,,iscgem,iscgem16957865,2019-12-23T20:18:08.684Z,"Bolnay, Mongolia",earthquake,,,,,automatic,iscgem,iscgem
